DECADES,OPEN (YEAR),CLOSE (YEAR),RESTAURANT,CUISINE,ADDRESS,ADDRESS_Clean,lat,long,,OWNER BIO,TEXT,IMAGE,AUDIO,VIDEO
1960,1966,,Japan Inn,Japanese,1520 Connecticut Avenue Northwest,"1520 Connecticut Avenue NW, Washington DC",38.9105799,-77.0442934,,Kokei Yoshimoto,,,,
1960,1966,2005,Japan Inn,Japanese,"1715 Wisconsin Ave NW, Washington, D.C","1715 Wisconsin Ave NW, Washington, D.C",38.9142546,-77.0666549,,Izumi Yoshimoto,,,,
1970,1971,,Japan Inn,Japanese,1715 Wisconsin Avenue Northwest,"1715 Wisconsin Avenue NW, Washington DC",38.9315315,-77.0727095,,Kokei Yoshimoto,,,,
,,,Japanese Sakura Palace,Japanese,"7926 Georgia Ave., Silver Spring","7926 Georgia Ave., Silver Spring",38.9856491,-77.0270078,,,,,,
1980,1980,,Katmandu,Nepalese/Kashmiri,1800 Connecticut Avenue Northwest,"1800 Connecticut Avenue NW, Washington DC",38.914375,-77.046427,,,,,,
2010,2014,-,Kochix,Korean,"400 Florida Ave NW, Washington, DC 20001","400 Florida Ave NW, Washington, DC 20001",38.9137437,-77.0163573,,Young-jun Park/Karen Park,,,,
,?,,Kwangchow Restaurant,Chinese,600 G Street Northwest,"600 G Street NW, Washington DC",38.8983152,-77.0198978,,John Hing Lau,,,,
,,,Kwong Chau Restaurant,Chinese,135 B Street Southeast,"135 B Street SE, Washington DC",38.8865959,-76.929905,,,,,,
,,,La Fregate,Vietnamese,2020 Florida Avenue Northwest,"2020 Florida Avenue NW, Washington DC",38.9145071,-77.0455961,,,,,,
1880,1880,1880s,Little China,Chinese,"South of Penn Ave, 4th Street Northwest","South of Penn Ave, 4th Street NW, Washington DC",38.8920133,-77.0175341,,,,,,
1920,1928,,Lotus Restaurant,Chinese,727 14th Street Northwest,"727 14th Street NW, Washington DC",38.8991447,-77.031616,,Dick Gee Lam,,,,
1970,1973,,Maharaja,Indian (New Delhi),1639 Wisconsin Avenue Northwest,"1639 Wisconsin Avenue NW, Washington DC",38.9315315,-77.0727095,,"Jagdish ""Jack"" Katyal",,,,
2000,2006,-,Mandu,Korean,"453 K St NW, Washington, DC 20001","453 K St NW, Washington, DC 20001",38.9028193,-77.0178951,,Yesoon Lee/Danny Lee,,,,
1930,1935,,Mayfair Restaurant,Chinese (?),13th and F Street Northwest,"13th and F Street NW, Washington DC",38.8973543,-77.0297102,,,,,,
2000,2003,-,Meiwah (Friendship Heights),Chinese,"4457 Willard Ave, Chevy Chase, MD 20815","4457 Willard Ave, Chevy Chase, MD 20815",38.9621455,-77.0881787,,Larry La,,,,
2000,2000,2019,Meiwah (West End),Chinese,"1200 New Hampshire Ave., NW","1200 New Hampshire Ave., NW, Washington DC",38.9057476,-77.0477212,,Larry La,,,,
1930,1932,,Ming Toy Inn,Chinese,,,,,,George Lee Y.Nahme (1901-1938),,,,
1950,1957,,Moon Palace,Chinese,3308 Wisconsin Avenue Northwest,"3308 Wisconsin Avenue NW, Washington DC",38.9338528,-77.0724296,,Sam Gin Wong (1918 - 1984),,,,
1960,1966,,Moon Place,Chinese,"3308 Wisconsin Ave., NW","3308 Wisconsin Ave., NW, Washington DC",38.9339144,-77.0727942,,,,,,
,,,Mun Fong Chinese & American Restaurant,Chinese,1317 Rhode Island Avenue Northeast,1317 Rhode Island Avenue Northeast,38.923799,-76.9863418,,,,,,
1940,1940,late 1940s,Nanking Restaurant,Chinese,2002 P Street NW,"2002 P Street NW, Washington DC",38.9094481,-77.0452913,,Robert Moy & Gayle Woo,,,,
1950,1955,,Nanking Restaurant (2nd location),Chinese,,,,,,Robert Moy & Gayle Woo,,,,
1980,1986,,New Heights,New American,2317 Calvert Street Northwest,"2317 Calvert Street NW, Washington DC",38.9237246,-77.0521963,,"Amarjeet ""Umbi"" Singh",,,,
2000,2009,-,Padaek,Thai/Lao,"6395 Seven Corners Center, Falls Church, VA 22044","6395 Seven Corners Center, Falls Church, VA 22044",38.8682754,-77.1491901,,Seng Luangrath,,,,
1950,1955,,Peking Palace,Chinese,3524 Connecticut Ave Northwest,"3524 Connecticut Ave NW, Washington DC",38.9364749,-77.0594595,,S. Van Lung (1926 - 1991),,,,
1940,1941,,Peking Restaurant,Chinese,5522 Connecticut Ave Northwest,"5522 Connecticut Ave NW, Washington DC",38.963658,-77.075368,,,,,,
1970,1970,,Peking Restaurant,Chinese,"5522 Connecticut Ave., NW","5522 Connecticut Ave., NW, Washington DC",38.963658,-77.075368,,,,,,
,,,Peking Restaurant,Chinese,"711 13th Street, NW","711 13th Street, NW, Washington DC",38.8987981,-77.0293251,,,,,,
1950,1957,,Peking Restaurant (downtown),Chinese,711 13th Street Northwest,"711 13th Street NW, Washington DC",38.8987981,-77.0293251,,,,,,
1900,1905,,Port Arthur Chinese Restaurant and Catering Company,Chinese,515 Ninth Street Northwest,"515 Ninth Street NW, Washington DC",38.8967892,-77.0237976,,Ung Wah,,Postcard,,
2010,2015,-,Purple Patch,Filipino,"3155 Mt Pleasant St NW, Washington, DC 20010","3155 Mt Pleasant St NW, Washington, DC 20010",38.9305555,-77.0376686,,Patrice Cleary,,,,
1940,1942,,Ruby Foo's,Chinese,728 13th Street Northwest,"728 13th Street NW, Washington DC",38.8987605,-77.0296963,,Sam Gin Wong (1918 - 1984),,,,
1970,1974,,Saigon West,Vietnamese,1509 Sixteenth Street Northwest,"1509 Sixteenth Street NW, Washington DC",38.9099927,-77.0360494,,,,,,
1990,1994,2018,Sakedokoro Makoto,Japanese,"4822 MacArthur Blvd NW, Washington, DC 20007","4822 MacArthur Blvd NW, Washington, DC 20007",38.9167266,-77.0963584,,Gene Itoh,,,,
,,,Sakura Palace,Japanese,7967 Georgia Avenue Silver Spring MD,7967 Georgia Avenue Silver Spring MD,38.9859091,-77.0263906,,,,,,
2010,2019,-,Sen Khao,Lao,"2001 International Dr 3RD FLOOR, McLean, VA 22102","2001 International Dr 3RD FLOOR, McLean, VA 22102",38.9232876,-77.2244611,,Seng Luangrath,,,,
1970,1970,,Shanghai Garden Restaurant,Chinese,"4469 connecticut Ave, NW","4469 connecticut Ave, NW, Washington DC",38.947389,-77.064854,,,,,,
2010,2014,-,Simply Banh Mi,Vietnamese,"1624 Wisconsin Ave NW, Washington, DC 20007","1624 Wisconsin Ave NW, Washington, DC 20007",38.9114539,-77.0657442,,John Tran,,,,
1970,1971,,Sorabol,Korean,2300 Connecticut Avenue Northwest,"2300 Connecticut Avenue NW, Washington DC",38.9187893,-77.0491952,,Joseph P. Chang/Jung Doo Kim,,NMAH,,
2010,2017,-,Succotash,Southern (American),"915 F St NW, Washington, DC 20004","915 F St NW, Washington, DC 20004",38.897644,-77.02474,,Edward Lee (Culinary Director),,,,
1970,1970,1970s,Sushi Keiko,Japanese,2309 Wisconsin Avenue Northwest,"2309 Wisconsin Avenue NW, Washington DC",38.9206368,-77.071375,,"Chef Daisuke Utagawa purchased Sushi-ko in 1988 and ran the restaurant until 2012 when he found himself facing IRS and DC liens upwards of $840,000 for unpaid business taxes.  Sushi-ko closed in 2013, presumably due to the financial troubles, yet chef Daisuke had opened a new Sushiko in Chevy Chase, Maryland in 2008 and has been running that restaurant ever since. Chef Wei Zhang and his wife Min took over the space in 2014, applied for a liquor license and opened Sushi Keiko, as rave reviews from customers followed. Mr. Zhang was president of the company named ""Washington DC Asian Food Corporation"" which owned Sushi Keiko. Early in 2018 Mr. Zhang encountered family problems and said he needed to return to his home country, so he sold the business to Ferry Huang who apparently took over as president of the corporation.",,,,
1970,1977,,Szechuan,Chinese (Sichuan),615 I Street Northwest,"615 I Street NW, Washington DC",38.9010654,-77.0209747,,,,,,
,,,Tai Tung,Chinese,622 H Street Northwest,"622 H Street NW, Washington DC",38.8995155,-77.0211876,,Nelson Lee,,,,
1960,1965,,Taj Mahal,Indian (Punjab ?),1327 Connecticut Avenue Northwest,"1327 Connecticut Avenue NW, Washington DC",38.9080377,-77.0422239,,Asha Mallick (German wife),,,,
1960,1969,,Taj Mahal,Indian,"1327 Connecticut Ave., NW","1327 Connecticut Ave. NW, Washington DC",38.9080377,-77.0422239,,,,,,
1970,1972,,Thai Room,Thai,5037 Connecticut Avenue Northwest,"5037 Connecticut Avenue NW, Washington DC",38.9559336,-77.0699713,,,,,,
,,,The Californian Streak House,?,831 14th Street Northwest,"831 14th Street NW, Washington DC",38.9010535,-77.0312843,,Quy Huy Nguyen,,,,
1960,1960,,The China Doll,Chinese,"627 H Street, NW","627 H Street NW, Washington DC",38.9000778,-77.0212272,,Davis Lee and Tom-Lin Lee,,,,
1940,1945,,The Dragon Restaurant,Chinese,1329 G Street Northwest,"1329 G Street NW, Washington DC",38.8986428,-77.0311535,,Harry Wong,,,,
1960,1968,,The Empress,Chinese,"1018 Vermont Ave., NW","1018 Vermont Ave. NW, Washington DC",38.9032275,-77.033609,,,,,,
1970,1977,,The Japanese Steak House,Japanese,1701 N. Fort Myer Drive VA,"1701 N. Fort Myer Drive, VA",38.894342,-77.0719255,,,,,,
,,,The Japanese Steak House,Japanese,7845 Wisconsin Avenue,"7845 Wisconsin Avenue, Washington DC",38.9893785,-77.0949823,,,,,,
,,,The Japanese Steak House,Japanese,"Arlington, VA","Arlington, VA",38.8816208,-77.0909809,,,,,,
1960,1962,,The Junkanoo,Tiki,1629 Connecticut Ave Northwest,"1629 Connecticut Ave NW, Washington DC",38.9121374,-77.0444154,,,,,,
1980,1988,,the Junkanoo,Tiki,"1629 Connecticut Ave., NW","1629 Connecticut Ave. NW, Washington DC",38.9121374,-77.0444154,,,,,,
1960,1968,,The Orient,Chinese,"1715 Wisconsin Ave., NW","1715 Wisconsin Ave. NW, Washington DC",38.9142546,-77.0666549,,,,,,
2010,2014,-,Thip Khao,Lao,"3462 14th St NW, Washington, DC 20010","3462 14th St NW, Washington, DC 20010",38.9329458,-77.0329865,,Seng Luangrath/Boby Pradachith,,,,
,,,Viet Huong Café,Vietnamese,2900 Block of M Street Northwest,"2900 Block of M Street NW, Washington DC",38.9050552,-77.0582565,,,,,,
,,,Vietnam-Georgetown,Vietnamese,2900 Block of M Street Northwest,"2900 Block of M Street NW, Washington DC",38.9050552,-77.0582565,,,,,,
1970,1970,,Woo Lae Oak,Korean,"8240 Leesburg Pike, Vienna, VA 22182","8240 Leesburg Pike, Vienna, VA 22182",38.9183884,-77.2296929,,,,,Danny's Interview,
1950,1955,,Yenching Palace,Chinese,3524 Connecticut Ave Northwest,"3524 Connecticut Ave NW, Washington DC",38.9364749,-77.0594595,,S. Van Lung (1926 - 1991),,Menu/ash tray,,
